comparison,metric,canonical_person_id,improvement
direct_vs_input,response_error,BioMotionLab_NTroje::rub053,-0.533520034521
direct_vs_input,response_error,BioMotionLab_NTroje::rub054,-0.290849273314
direct_vs_input,response_error,BioMotionLab_NTroje::rub070,6.65234346757
direct_vs_input,response_error,BioMotionLab_NTroje::rub072,-2.39212916136
direct_vs_input,response_error,BioMotionLab_NTroje::rub075,22.3426732926
direct_vs_input,response_error,BioMotionLab_NTroje::rub086,5.17087191272
direct_vs_input,response_error,BioMotionLab_NTroje::rub098,5.32092916636
direct_vs_input,response_error,BioMotionLab_NTroje::rub106,11.0022086188
direct_vs_input,response_error,BioMotionLab_NTroje::rub115,0.562964570959
direct_vs_input,response_error,KIT::348,4.5471418214
direct_vs_input,response_error,KIT::6,10.2356292836
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub002,0.876992424094
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub023,5.67509520037
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub044,5.82310838337
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub053,2.6206164238
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub054,2.02872099331
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub070,9.18803533891
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub072,-0.551657968831
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub075,28.6681812882
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub086,5.79645522379
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub098,5.85975853927
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub106,13.2850570369
direct_vs_input,nuisance_error,BioMotionLab_NTroje::rub115,1.86016751183
direct_vs_input,nuisance_error,KIT::348,4.13058120335
direct_vs_input,nuisance_error,KIT::6,14.2629215055
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub002,-0.894591176927
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub023,6.65119939214
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub044,14.6255656988
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub053,-2.30206060511
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub054,-1.3371965417
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub070,15.3600163316
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub072,-6.50743489775
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub075,53.2619689767
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub086,12.1496284404
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub098,11.4385564148
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub106,26.0788835134
direct_vs_input,interaction_error,BioMotionLab_NTroje::rub115,0.00555381827987
direct_vs_input,interaction_error,KIT::348,8.28486858414
direct_vs_input,interaction_error,KIT::6,23.3031093255
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub002,2.36913440082
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub023,4.28426980218
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub044,2.10288620354
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub053,2.09652759587
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub054,1.82887551967
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub070,4.15690222589
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub072,0.219192643037
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub075,4.99543353464
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub086,2.45775870482
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub098,2.716213684
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub106,0.613823708509
direct_vs_jepa_base,A_error,BioMotionLab_NTroje::rub115,2.31133933989
direct_vs_jepa_base,A_error,KIT::348,5.00282682654
direct_vs_jepa_base,A_error,KIT::6,4.39135134994
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub002,4.69298147749
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub023,5.9015502667
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub044,3.96890800768
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub053,5.43210834408
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub054,4.9386231913
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub070,6.0268866569
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub072,4.85519300334
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub075,8.43682794611
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub086,5.07492894856
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub098,4.16576497274
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub106,5.12838769444
direct_vs_jepa_base,waveform_error,BioMotionLab_NTroje::rub115,5.03339683238
direct_vs_jepa_base,waveform_error,KIT::348,6.95173713565
direct_vs_jepa_base,waveform_error,KIT::6,4.71155905251
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub002,0.0327638775866
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub023,0.0330267732143
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub044,0.0325020479914
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub053,0.0431714168594
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub054,0.0352267950233
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub070,0.0398802716084
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub072,0.0401798872213
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub075,0.0331568793403
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub086,0.0329373324954
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub098,0.0368954267224
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub106,0.0310996364668
direct_vs_jepa_base,visible_nle,BioMotionLab_NTroje::rub115,0.0369032546916
direct_vs_jepa_base,visible_nle,KIT::348,0.0445619689959
direct_vs_jepa_base,visible_nle,KIT::6,0.0561157963845
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub002,0.0263305646676
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub023,0.0272322444504
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub044,0.0257277438786
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub053,0.0368903287297
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub054,0.0293977286816
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub070,0.0363861139214
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub072,0.0349321859582
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub075,0.0309559170539
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub086,0.0283828892108
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub098,0.0314048538681
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub106,0.026149078682
direct_vs_jepa_base,synthetic_all_nle,BioMotionLab_NTroje::rub115,0.0311394945507
direct_vs_jepa_base,synthetic_all_nle,KIT::348,0.0399109516119
direct_vs_jepa_base,synthetic_all_nle,KIT::6,0.0540175571419
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub002,0.0143820947552
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub023,0.0160716058179
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub044,0.0105106404914
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub053,0.0132790740991
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub054,0.0196059237527
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub070,0.0174250250954
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub072,0.011927592428
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub075,0.0186391813695
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub086,0.0176766077763
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub098,0.0147269663939
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub106,0.0142453471357
direct_vs_jepa_base,displacement_nle,BioMotionLab_NTroje::rub115,0.0138089927923
direct_vs_jepa_base,displacement_nle,KIT::348,0.0127463844185
direct_vs_jepa_base,displacement_nle,KIT::6,0.0126170608024
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub002,0.266402801267
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub023,0.259618038374
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub044,0.256776435028
